E/ESCWA/ID/1999/WG.1/18	412502	IN ODS
E/ESCWA/GRID/2004/5/Corr.1	572042	IN ODS
E/ESCWA/STAT/1999/WG.4/CP.5	411297	IN ODS
E/ECWA/DPD/WG.15/1/Add.1	25448	IN ODS
E/ESCWA/SDPD/2005/10	568082	IN ODS
E/ESCWA/ICTD/2004/WG.1/15	527906	IN ODS
E/ESCWA/SDPD/2004/IG.1/4(PartI)	542628	IN ODS
E/ECWA/UNCTC/85/IG.1/INF.1	115944	NOT IN ODS
E/ESCWA/OES/2003/CRP.19	502363	IN ODS
E/ECWA/RES/138(XII)	87473	NOT IN ODS
E/ECWA/SDHS/L.9	25491	NOT IN ODS
E/ECWA/XI/8	87831	IN ODS
E/ESCWA/SDPD/2008/IG.1/4(Part I)	665488	IN ODS
E/ESCWA/C.1/20/5	310146	IN ODS
E/ESCWA/ENR/2001/WG.3/3	469852	NOT IN ODS
E/ESCWA/AGR/1993/13	180342	IN ODS
E/ESCWA/ENR/2002/WG.2/13	491617	IN ODS
E/ESCWA/TRANS/2002/WG.1/4	484091	IN ODS
E/ESCWA/TRANS/2001/WG.1/3	463493	IN ODS
E/ESCWA/GRID/2006/WG.1/INF.2	578879	IN ODS
E/ESCWA/OES/2003/CRP.2	502208	IN ODS
E/ESCWA/NR/85/14	155790	IN ODS
E/ECWA/TCT/83/5	62940	IN ODS
E/ECWA/NR/SEM.3/16	27944	IN ODS
E/2012/41	730744	IN ODS
E/ESCWA/STAT/1999/WG.5/9	411428	IN ODS
E/ECWA/DPD/WG.15/INF.4	29646	NOT IN ODS
E/ESCWA/SD/2008/IG.1/L.1	651968	IN ODS
E/ESCWA/TRANS/2001/WG.2/3	466749	IN ODS
E/ECWA/ID/WG.4/1	18604	IN ODS
E/ESCWA/SDD/2009/WG.3/INF.1	682201	NOT IN ODS
E/ESCWA/EDGD/2008/4	670852	IN ODS
E/ESCWA/SDD/2003/WG.6/CP.2	519445	IN ODS
E/ESCWA/SDPD/2007/WG.4/2	624127	IN ODS
E/ESCWA/17/4(PartI)/Add.8	189454	IN ODS
E/ESCWA/UNCTC/85/6	122993	NOT IN ODS
E/ESCWA/TRANS/2001/IG.1/8	463489	IN ODS
E/ESCWA/STAT/2000/WG.2/CP.1	450330	NOT IN ODS
E/ESCWA/ENR/2000/WG.2/20	447630	IN ODS
E/ESCWA/ICTD/2005/6	568072	IN ODS
E/ESCWA/SD/2002/WG.1-I/CP.2	474384	IN ODS
E/ESCWA/SDPD/2013/WG.12/Report	770179	IN ODS
E/ESCWA/13/4/Add.6	189200	IN ODS
E/ESCWA/ENR/2001/WG.1/17	466266	IN ODS
E/ESCWA/SD/1997/5	248936	IN ODS
E/ESCWA/SDD/2005/WG.2/5	572059	IN ODS
E/ESCWA/SDPD/2005/15	568084	IN ODS
