﻿E/1986/35	NOT IN DLS	missing files:	FR	AR	EN
E/ESCWA/13/4/ADD.8	189275	missing files:	NONE
E/ESCWA/13/4/ADD.9	189276	missing files:	NONE
E/ESCWA/13/5	189322	missing files:	NONE
E/ESCWA/13/5/ADD.1	189323	missing files:	NONE
E/ESCWA/13/5/ADD.2	NOT IN DLS	missing files:	EN	AR
E/ESCWA/13/5/ADD.3	NOT IN DLS	missing files:	EN	AR
E/ESCWA/13/5/ADD.4	NOT IN DLS	missing files:	AR	EN
E/ESCWA/13/5/ADD.5	189324	missing files:	NONE
E/ESCWA/13/5/ADD.6/REV.1	189326	missing files:	NONE
E/ESCWA/13/5/ADD.7	NOT IN DLS	missing files:	AR	EN
E/ESCWA/13/5/ADD.8	189327	missing files:	NONE
E/ESCWA/13/6	189484	missing files:	NONE
E/ESCWA/13/7	189328	missing files:	NONE
E/ESCWA/13/8/REV.1	NOT IN DLS	missing files:	AR	EN
E/ESCWA/13/9	189330	missing files:	NONE
E/ESCWA/13/9/ADD.1/REV.1	NOT IN DLS	missing files:	EN	AR
E/ESCWA/13/9/ADD.2	189332	missing files:	NONE
E/ESCWA/13/9/ADD.3	NOT IN DLS	missing files:	EN	AR
E/ESCWA/13/INF.1	NOT IN DLS	missing files:	AR	EN
E/ESCWA/13/INF.2	NOT IN DLS	missing files:	EN
E/ESCWA/13/INF.3	NOT IN DLS	missing files:	EN	AR
E/ESCWA/13/INF.3/REV.1	NOT IN DLS	missing files:	EN	AR
E/ESCWA/14/10	189181	missing files:	NONE
E/ESCWA/14/11	189187	missing files:	NONE
E/ESCWA/14/12	138633	missing files:	NONE
E/ESCWA/14/1/REV.1	189178	missing files:	NONE
E/ESCWA/14/2/REV.1	NOT IN DLS	missing files:	AR	EN
E/ESCWA/14/3/REV.1	NOT IN DLS	missing files:	EN	AR
E/ESCWA/14/4	NOT IN DLS	missing files:	AR	EN
E/ESCWA/14/5/REV.1	189488	missing files:	NONE
E/ESCWA/14/6/REV.1	NOT IN DLS	missing files:	EN
E/ESCWA/14/6/REV.2	NOT IN DLS	missing files:	AR
E/ESCWA/14/7	189176	missing files:	NONE
E/ESCWA/14/8	189177	missing files:	NONE
E/ESCWA/14/9	189185	missing files:	NONE
E/ESCWA/14/9/ADD.1	189184	missing files:	NONE
E/ESCWA/14/9/ADD.2	189182	missing files:	NONE
E/ESCWA/14/INF.1	NOT IN DLS	missing files:	AR	EN
E/ESCWA/14/INF.2/REV.1	NOT IN DLS	missing files:	EN	AR
E/ESCWA/14/INF.3/REV.2	NOT IN DLS	missing files:	EN	AR
E/ESCWA/152	NOT IN DLS	missing files:	AR
E/ESCWA/15/1	188454	missing files:	NONE
E/ESCWA/15/1/REV.1	NOT IN DLS	missing files:	AR
E/ESCWA/15/2	72500	missing files:	NONE
E/ESCWA/15/3	72507	missing files:	NONE
E/ESCWA/15/4/REV.1	72499	missing files:	NONE
E/ESCWA/15/5	NOT IN DLS	missing files:	EN
E/ESCWA/15/5/REV.1	NOT IN DLS	missing files:	AR
E/ESCWA/15/6	72688	missing files:	NONE
E/ESCWA/15/6/ADD.1	72687	missing files:	NONE
E/ESCWA/15/6/ADD.2	72713	missing files:	NONE
E/ESCWA/15/7	72695	missing files:	NONE
E/ESCWA/15/8	84636	missing files:	NONE
E/ESCWA/15/INF.1	NOT IN DLS	missing files:	AR	EN
E/ESCWA/15/INF.3	72685	missing files:	NONE
E/ESCWA/15/INF.3/REV.1	NOT IN DLS	missing files:	AR
E/ESCWA/15/L.1	72501	missing files:	NONE
E/ESCWA/15/L.1/ADD.1	72498	missing files:	NONE
E/ESCWA/15/L.1/REV.1	NOT IN DLS	missing files:	AR
E/ESCWA/15/L.1/REV.1/ADD.1	NOT IN DLS	missing files:	AR
E/ESCWA/15/L.2	NOT IN DLS	missing files:	AR
E/ESCWA/167	NOT IN DLS	missing files:	AR
E/ESCWA/16/10	189164	missing files:	NONE
E/ESCWA/16/12	189163	missing files:	NONE
E/ESCWA/16/13/REV.1	189169	missing files:	NONE
E/ESCWA/16/14	171917	missing files:	NONE
E/ESCWA/16/1/REV.2	152824	missing files:	NONE
E/ESCWA/16/2	189480	missing files:	NONE
E/ESCWA/16/3(PARTII)	189212	missing files:	NONE
E/ESCWA/16/3(PARTI)	189168	missing files:	NONE
E/ESCWA/16/3(PARTI)/ADD.1	189470	missing files:	NONE
E/ESCWA/16/3(PARTI)/ADD.2	189471	missing files:	NONE
E/ESCWA/16/3(PARTI)/ADD.3	189481	missing files:	NONE
E/ESCWA/16/3(PARTI)/ADD.4	189472	missing files:	NONE
E/ESCWA/16/3(PARTI)/ADD.5	189223	missing files:	NONE
E/ESCWA/16/3(PARTI)/ADD.5/SUPPL.1	189483	missing files:	NONE
E/ESCWA/16/3(PARTI)/ADD.6	189473	missing files:	NONE
E/ESCWA/16/3(PARTI)/ADD.7	189474	missing files:	NONE
E/ESCWA/16/3(PARTI)/ADD.8	189475	missing files:	NONE
E/ESCWA/16/3(PARTI)/ADD.9	189448	missing files:	NONE
E/ESCWA/16/4	189213	missing files:	NONE
E/ESCWA/16/4/ADD.1	189214	missing files:	NONE
E/ESCWA/16/4/ADD.10	189225	missing files:	NONE
E/ESCWA/16/4/ADD.11	189226	missing files:	NONE
E/ESCWA/16/4/ADD.12	189224	missing files:	NONE
E/ESCWA/16/4/ADD.1/REV.1	NOT IN DLS	missing files:	AR
E/ESCWA/16/4/ADD.2	189215	missing files:	NONE
E/ESCWA/16/4/ADD.3	189209	missing files:	NONE
E/ESCWA/16/4/ADD.4	189449	missing files:	NONE
E/ESCWA/16/4/ADD.5	189211	missing files:	NONE
E/ESCWA/16/4/ADD.6	189208	missing files:	NONE
E/ESCWA/16/4/ADD.7	189205	missing files:	NONE
E/ESCWA/16/4/ADD.8	189210	missing files:	NONE
E/ESCWA/16/4/ADD.8/SUPPL.1	189229	missing files:	NONE
E/ESCWA/16/4/ADD.8/SUPPL.2	189228	missing files:	NONE
E/ESCWA/16/4/ADD.9	189227	missing files:	NONE
E/ESCWA/16/5	189206	missing files:	NONE
E/ESCWA/16/5/SUPPL.1	189207	missing files:	NONE
E/ESCWA/16/5/SUPPL.2	189222	missing files:	NONE
E/ESCWA/16/6	189482	missing files:	NONE
E/ESCWA/16/7	189173	missing files:	NONE
E/ESCWA/16/7/ADD.1	189174	missing files:	NONE
E/ESCWA/16/7/ADD.2	189172	missing files:	NONE
E/ESCWA/16/8	189175	missing files:	NONE
E/ESCWA/16/8/SUPPL.1	189162	missing files:	EN
E/ESCWA/16/8/SUPPL.1/ADD.1	189221	missing files:	EN
E/ESCWA/16/8/SUPPL.2	189450	missing files:	EN
E/ESCWA/16/9	189165	missing files:	NONE
E/ESCWA/16/C.1/CRP/1	NOT IN DLS	missing files:	EN	AR
E/ESCWA/16/INF.1/REV.1	176546	missing files:	NONE
E/ESCWA/16/INF.2	189167	missing files:	EN
E/ESCWA/16/INF.2/REV.1	189170	missing files:	NONE
E/ESCWA/16/INF.3/REV.2	189166	missing files:	NONE
E/ESCWA/16/L.1/REV.1/ADD.1	NOT IN DLS	missing files:	AR
E/ESCWA/16/L.1/REV.2	NOT IN DLS	missing files:	EN	AR
E/ESCWA/16/L.1/REV.2/ADD.1	189171	missing files:	NONE
E/ESCWA/17/10	189460	missing files:	NONE
E/ESCWA/17/11	189461	missing files:	NONE
E/ESCWA/17/12	189462	missing files:	NONE
E/ESCWA/17/13	189463	missing files:	NONE
E/ESCWA/17/15	189465	missing files:	NONE
E/ESCWA/17/16	189478	missing files:	NONE
E/ESCWA/17/19	178482	missing files:	NONE
E/ESCWA/17/2	189479	missing files:	NONE
E/ESCWA/17/3	189712	missing files:	NONE
E/ESCWA/17/4(PARTII)	189455	missing files:	NONE
E/ESCWA/17/4(PARTI)	189034	missing files:	NONE
E/ESCWA/17/4(PARTI)/ADD.1	189029	missing files:	NONE
E/ESCWA/17/4(PARTI)/ADD.10	189036	missing files:	NONE
E/ESCWA/17/4(PARTI)/ADD.2	189030	missing files:	NONE
E/ESCWA/17/4(PARTI)/ADD.3	188122	missing files:	NONE
E/ESCWA/17/4(PARTI)/ADD.4	189035	missing files:	NONE
E/ESCWA/17/4(PARTI)/ADD.5	189451	missing files:	NONE
E/ESCWA/17/4(PARTI)/ADD.6	189452	missing files:	NONE
E/ESCWA/17/4(PARTI)/ADD.7	189453	missing files:	NONE
E/ESCWA/17/4(PARTI)/ADD.8	189454	missing files:	NONE
E/ESCWA/17/4(PARTI)/ADD.9	189497	missing files:	NONE
E/ESCWA/17/5	189456	missing files:	NONE
E/ESCWA/17/5/ADD.1	189538	missing files:	NONE
E/ESCWA/17/5/ADD.2	189491	missing files:	NONE
E/ESCWA/17/5/ADD.3	189492	missing files:	NONE
E/ESCWA/17/5/ADD.4	189493	missing files:	NONE
E/ESCWA/17/5/ADD.5	189494	missing files:	NONE
E/ESCWA/17/5/ADD.6	189495	missing files:	NONE
E/ESCWA/17/5/ADD.7	189496	missing files:	NONE
E/ESCWA/17/6	189477	missing files:	NONE
E/ESCWA/17/7	189498	missing files:	NONE
E/ESCWA/17/8	189499	missing files:	NONE
E/ESCWA/17/8/ADD.1	189539	missing files:	NONE
E/ESCWA/17/8/ADD.2	189457	missing files:	NONE
E/ESCWA/17/8/ADD.3	189458	missing files:	NONE
E/ESCWA/17/9	NOT IN DLS	missing files:	EN
E/ESCWA/17/9/REV.1	189459	missing files:	NONE
E/ESCWA/17/INF.1	NOT IN DLS	missing files:	EN
E/ESCWA/17/INF.2	189032	missing files:	NONE
E/ESCWA/17/INF.3	NOT IN DLS	missing files:	EN
E/ESCWA/17/L.1/REV.2	189033	missing files:	NONE
E/ESCWA/17/L.1/REV.2/ADD.1	189031	missing files:	NONE
E/ESCWA/18/1	725325	missing files:	NONE
E/ESCWA/18/1/REV.2	NOT IN DLS	missing files:	AR
E/ESCWA/18/3	NOT IN DLS	missing files:	EN
E/ESCWA/18/4	NOT IN DLS	missing files:	EN
E/ESCWA/18/4/REV.2	NOT IN DLS	missing files:	AR
E/ESCWA/18/5	NOT IN DLS	missing files:	EN	AR
E/ESCWA/18/6	NOT IN DLS	missing files:	EN	AR
E/ESCWA/18/7	209064	missing files:	NONE
E/ESCWA/18/INF.1	NOT IN DLS	missing files:	AR	EN
E/ESCWA/18/L.1/ADD.1	728135	missing files:	NONE
E/ESCWA/18/L.1/REV.2	732593	missing files:	NONE
E/ESCWA/18/L.1/REV.2/ADD.1	NOT IN DLS	missing files:	AR
E/ESCWA/18/L.2/REV.1	NOT IN DLS	missing files:	EN
E/ESCWA/18/L.2/REV.2	NOT IN DLS	missing files:	AR
E/ESCWA/1990/1	NOT IN DLS	missing files:	EN
E/ESCWA/1994/PTF/1	NOT IN DLS	missing files:	EN
E/ESCWA/1996/1	NOT IN DLS	missing files:	EN	AR
E/ESCWA/1996/3	217814	missing files:	NONE
E/ESCWA/1998/1	266889	missing files:	NONE
E/ESCWA/1999/1	287549	missing files:	NONE
E/ESCWA/1999/2	287550	missing files:	NONE
E/ESCWA/1999/3	287551	missing files:	NONE
E/ESCWA/1999/4	287552	missing files:	NONE
E/ESCWA/1999/5	287553	missing files:	NONE
E/ESCWA/19/3	234693	missing files:	NONE
E/ESCWA/19/4	242715	missing files:	NONE
E/ESCWA/19/4/REV.1	NOT IN DLS	missing files:	AR
E/ESCWA/19/5	234694	missing files:	NONE
E/ESCWA/19/6	234695	missing files:	NONE
E/ESCWA/19/7	234696	missing files:	NONE
E/ESCWA/19/8	234706	missing files:	NONE
E/ESCWA/19/9	241908	missing files:	NONE
E/ESCWA/19/INF.2	NOT IN DLS	missing files:	EN
E/ESCWA/19/L.1	234767	missing files:	NONE
E/ESCWA/19/L.1/ADD.1	234768	missing files:	NONE
E/ESCWA/19/L.2	234769	missing files:	NONE
E/ESCWA/19/L.9	NOT IN DLS	missing files:	AR
E/ESCWA/2000/1	434042	missing files:	NONE
E/ESCWA/2000/3	NOT IN DLS	missing files:	EN
E/ESCWA/2000/4	NOT IN DLS	missing files:	EN
E/ESCWA/2002/1	474647	missing files:	EN
E/ESCWA/2002/1	474647	missing files:	EN
E/ESCWA/2002/2	490890	missing files:	NONE
E/ESCWA/2002/2	490890	missing files:	NONE
E/ESCWA/2002/3	477798	missing files:	NONE
E/ESCWA/2002/WG.1-I/L.9	NOT IN DLS	missing files:	AR
E/ESCWA/2008/C.1/3	665225	missing files:	NONE
