72505	E/ESCWA/C.1/15/2	http://digitallibrary.un.org/record/72505/files/E_ESCWA_C.1_15_2-AR.pdf; http://digitallibrary.un.org/record/72505/files/E_ESCWA_C.1_15_2-EN.pdf
72506	E/ESCWA/C.1/15/3/Rev.1	http://digitallibrary.un.org/record/72506/files/E_ESCWA_C.1_15_3_Rev.1-AR.pdf; http://digitallibrary.un.org/record/72506/files/E_ESCWA_C.1_15_3_Rev.1-EN.pdf
72507	E/ESCWA/15/3	http://digitallibrary.un.org/record/72507/files/E_ESCWA_15_3-AR.pdf; http://digitallibrary.un.org/record/72507/files/E_ESCWA_15_3-EN.pdf
72637	E/ESCWA/C.1/15/INF.1/Rev.1	http://digitallibrary.un.org/record/72637/files/E_ESCWA_C.1_15_INF.1_Rev.1-AR.pdf
72685	E/ESCWA/15/INF.3	http://digitallibrary.un.org/record/72685/files/E_ESCWA_15_INF.3-EN.pdf
72687	E/ESCWA/15/6/Add.1	http://digitallibrary.un.org/record/72687/files/E_ESCWA_15_6_Add.1-AR.pdf; http://digitallibrary.un.org/record/72687/files/E_ESCWA_15_6_Add.1-EN.pdf
72695	E/ESCWA/15/7	http://digitallibrary.un.org/record/72695/files/E_ESCWA_15_7-AR.pdf; http://digitallibrary.un.org/record/72695/files/E_ESCWA_15_7-EN.pdf
72743	E/ESCWA/C.1/15/10(PartI)	
72744	E/ESCWA/C.1/15/8	http://digitallibrary.un.org/record/72744/files/E_ESCWA_C.1_15_8-AR.pdf; http://digitallibrary.un.org/record/72744/files/E_ESCWA_C.1_15_8-EN.pdf
72745	E/ESCWA/C.1/15/6	http://digitallibrary.un.org/record/72745/files/E_ESCWA_C.1_15_6-AR.pdf; http://digitallibrary.un.org/record/72745/files/E_ESCWA_C.1_15_6-EN.pdf
72746	E/ESCWA/C.1/15/5	http://digitallibrary.un.org/record/72746/files/E_ESCWA_C.1_15_5-AR.pdf; http://digitallibrary.un.org/record/72746/files/E_ESCWA_C.1_15_5-EN.pdf
72747	E/ESCWA/C.1/15/9	
72748	E/ESCWA/C.1/15/10	
72749	E/ESCWA/C.1/15/11	http://digitallibrary.un.org/record/72749/files/E_ESCWA_C.1_15_11-AR.pdf; http://digitallibrary.un.org/record/72749/files/E_ESCWA_C.1_15_11-EN.pdf
72752	E/ESCWA/C.1/15/12	http://digitallibrary.un.org/record/72752/files/E_ESCWA_C.1_15_12-AR.pdf; http://digitallibrary.un.org/record/72752/files/E_ESCWA_C.1_15_12-EN.pdf
72753	E/ESCWA/C.1/15/13	http://digitallibrary.un.org/record/72753/files/E_ESCWA_C.1_15_13-AR.pdf; http://digitallibrary.un.org/record/72753/files/E_ESCWA_C.1_15_13-EN.pdf
72754	E/ESCWA/C.1/15/14	http://digitallibrary.un.org/record/72754/files/E_ESCWA_C.1_15_14-EN.pdf
72797	E/ESCWA/DOC/15	
73472	E/ESCWA/C.1/15/6/Add.3	http://digitallibrary.un.org/record/73472/files/E_ESCWA_C.1_15_6_Add.3-AR.pdf; http://digitallibrary.un.org/record/73472/files/E_ESCWA_C.1_15_6_Add.3-EN.pdf
73473	E/ESCWA/LIB/DOC/89/1	
73478	E/ESCWA/C.1/15/6/Add.4	http://digitallibrary.un.org/record/73478/files/E_ESCWA_C.1_15_6_Add.4-AR.pdf; http://digitallibrary.un.org/record/73478/files/E_ESCWA_C.1_15_6_Add.4-EN.pdf
73855	E/ESCWA/SD/88/2	http://digitallibrary.un.org/record/73855/files/E_ESCWA_SD_88_2-EN.pdf
73859	E/ESCWA/TCD/89/1	
73861	E/ESCWA/AGR/88/8	http://digitallibrary.un.org/record/73861/files/E_ESCWA_AGR_88_8-EN.pdf
73862	E/ESCWA/AGR/88/7	http://digitallibrary.un.org/record/73862/files/E_ESCWA_AGR_88_7-EN.pdf
73908	E/ESCWA/DOC/13	
73909	E/ESCWA/LIB/DOC/88/4	http://digitallibrary.un.org/record/73909/files/E_ESCWA_LIB_DOC_88_4-EN.pdf
73910	E/ESCWA/LIB/ACQ/88/5	
73979	E/ESCWA/DPD/89/5	http://digitallibrary.un.org/record/73979/files/E_ESCWA_DPD_89_5-EN.pdf
74018	E/ESCWA/DPD/89/IG.1/10/Rev.1	
82922	E/ESCWA/LIB/DOC/6	http://digitallibrary.un.org/record/82922/files/E_ESCWA_LIB_DOC_6-EN.pdf
84032	E/ESCWA/NR/89/11	http://digitallibrary.un.org/record/84032/files/E_ESCWA_NR_89_11-EN.pdf
84637	E/ESCWA/RES/164(XV)	
84638	E/ESCWA/RES/165(XV)	
84639	E/ESCWA/RES/166(XV)	
84640	E/ESCWA/RES/167(XV)	
84641	E/ESCWA/RES/168(XV)	
84642	E/ESCWA/RES/169(XV)	
84643	E/ESCWA/RES/170(XV)	
84644	E/ESCWA/RES/171(XV)	
84645	E/ESCWA/RES/172(XV)	
84646	E/ESCWA/RES/173(XV)	
84647	E/ESCWA/RES/174(XV)	
84648	E/ESCWA/RES/175(XV)	
84649	E/ESCWA/RES/176(XV)	
84650	E/ESCWA/RES/177(XV)	
85570	E/ESCWA/DPD/89/2	http://digitallibrary.un.org/record/85570/files/E_ESCWA_DPD_89_2-EN.pdf
87137	E/ESCWA/AGREB/XI	http://digitallibrary.un.org/record/87137/files/E_ESCWA_AGREB_XI-EN.pdf
87172	E/ESCWA/NR/89/14	http://digitallibrary.un.org/record/87172/files/E_ESCWA_NR_89_14-EN.pdf
87173	E/ESCWA/NR/89/21	http://digitallibrary.un.org/record/87173/files/E_ESCWA_NR_89_21-EN.pdf
87174	E/ESCWA/NR/88/26	
87175	E/ESCWA/NR/89/23	http://digitallibrary.un.org/record/87175/files/E_ESCWA_NR_89_23-EN.pdf
87188	E/ESCWA/AGR/89/8	http://digitallibrary.un.org/record/87188/files/E_ESCWA_AGR_89_8-EN.pdf
87335	E/ESCWA/DPD/89/6	http://digitallibrary.un.org/record/87335/files/E_ESCWA_DPD_89_6-AR.pdf; http://digitallibrary.un.org/record/87335/files/E_ESCWA_DPD_89_6-EN.pdf
87776	E/ESCWA/SD/89/10	http://digitallibrary.un.org/record/87776/files/E_ESCWA_SD_89_10-EN.pdf
88115	E/ESCWA/NR/88/5; E/ESCWA/NR/86/WG.1/19	http://digitallibrary.un.org/record/88115/files/E_ESCWA_NR_86_WG.1_19_E_ESCWA_NR_88_5-EN.pdf
92833	E/ESCWA/ID/89/9	http://digitallibrary.un.org/record/92833/files/E_ESCWA_ID_89_9-EN.pdf
92834	E/ESCWA/SD/89/8	http://digitallibrary.un.org/record/92834/files/E_ESCWA_SD_89_8-AR.pdf
92918	E/ESCWA/ID/89/2	http://digitallibrary.un.org/record/92918/files/E_ESCWA_ID_89_2-EN.pdf
97359	E/ESCWA/STAT/89/27	http://digitallibrary.un.org/record/97359/files/E_ESCWA_STAT_89_27-AR.pdf
97361	E/ESCWA/STAT/89/28	
97443	E/ESCWA/STAT/89/24	
106479	E/ESCWA/DPD/89/10	http://digitallibrary.un.org/record/106479/files/E_ESCWA_DPD_89_10-EN.pdf
106565	E/ESCWA/STAT/87/28	
113358	E/ESCWA/AGR/85/WG.17/3	
113366	E/ESCWA/TCT/85/9	http://digitallibrary.un.org/record/113366/files/E_ESCWA_TCT_85_9-EN.pdf
119107	E/ESCWA/RES/142(XIII)	
119108	E/ESCWA/RES/143(XIII)	
119109	E/ESCWA/RES/144(XIII)	
119110	E/ESCWA/RES/145(XIII)	
119111	E/ESCWA/RES/146(XIII)	
119112	E/ESCWA/RES/147(XIII)	
119113	E/ESCWA/RES/148(XIII)	
119114	E/ESCWA/RES/149(XIII)	
119115	E/ESCWA/RES/150(XIII)	
119116	E/ESCWA/RES/151(XIII)	
119117	E/ESCWA/RES/152(XIII)	
119118	E/ESCWA/RES/153(XIII)	
120346	E/ESCWA/STAT/85/30	
120347	E/ESCWA/STAT/85/32	
121784	E/ESCWA/ID/85/15	http://digitallibrary.un.org/record/121784/files/E_ESCWA_ID_85_15-EN.pdf
